exemplar,determines your social status,earns you money,has strong influence upon the rest of your life,involves wearing a particular outfit,is a job,is advantageous for society / economy,is an activity,is different for men and women,is regulated by law,is something adults do,is something you do,is something you do every day,is somthing you do throughout your life,requires a certain education,requires specific knowledge,requires specific skills,source of stress / frustrations,takes up a lot of time,there are different kinds,you do not practise it at your home,you have to enjoy it in order to keep it up
accountant,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,0
actor,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1
archaeologist,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1
architect,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0
baker,1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1
butcher,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0
cook,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1
dentist,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1
doctor,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1
educator,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1
fireman,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1
garbage collector,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
information scientist,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0
judge,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0
lawyer,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1
manager,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1
minister,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1
pharmacist,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0
physiotherapist,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1
pilot,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1
plumber,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0
police officer,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0
postman,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0
psychologist,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0
secretary,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0
shop-assistant,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
stallholder,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
stewardess,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0
teacher,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0
veterinarian,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0
