feature,freq
Indiase of Afrikaanse,4
als ze klein zijn een big,5
angstaanjagend,6
balkt,7
bang dier,4
bedreigde diersoort,16
bekend om het aanleggen van wintervoorraad,4
beschermde diersoort,8
bijt,9
blaat,14
blaft,17
bouwt dammen,12
brullen,11
buideldier,19
dikke huid,21
draagt kind in buidel,6
drinkt water,9
een varkensneus,5
eet alles,6
eet bananen,6
eet bladeren van de bomen,15
eet eikels,7
eet graag wortelen,7
eet graan,5
eet gras,48
eet hooi,4
eet insecten,9
eet kaas,8
eet kippen,7
eet nootjes,12
eet planten,32
eet vis,15
er zijn verschillende soorten,40
familie van de hond,13
familie van het paard,11
familie van kameel,7
fladdert,4
gebruikt als trekdier,6
gebruikt in wedstrijden,10
geeft melk,29
geel,7
geel en zwart,5
geen vriendjes met honden,5
geliefd bij kinderen,7
gestreept,12
gevaarlijk,44
goed reukvermogen,4
graaft holen,6
graast,5
grijs,78
grijs-wit,4
grote muil,5
grote neusgaten,4
grote oren,14
harig,24
heeft 2 ogen,7
heeft 2 oren,9
heeft Batman geïnspireerd,4
heeft benen,4
heeft bult om water in op te slaan,5
heeft dikke poten,4
heeft een bult,24
heeft een gewei,16
heeft een hoorn,13
heeft een klein staartje,13
heeft een lange nek,29
heeft een lange staart,27
heeft een lange tong,6
heeft een slurf,20
heeft een spitse snuit,14
heeft een staart,78
heeft een uier,11
heeft een vacht,34
heeft een winter en zomervacht,4
heeft een wollen vacht,9
heeft grote tanden,12
heeft grote voortanden,5
heeft hoeven,21
heeft hoorns,13
heeft jongen = welpjes,9
heeft klauwen,10
heeft knaagtanden,4
heeft korte poten,8
heeft lange achterpoten,8
heeft lange oren,20
heeft lange poten,18
heeft manen,25
heeft meerdere magen,6
heeft meestal 1 jong per keer,6
heeft mooie staart,5
heeft poten,4
heeft scherpe klauwen,10
heeft scherpe tanden,42
heeft slagtanden,15
heeft snorharen,18
heeft spitse oren,6
heeft stekels,21
heeft tanden,4
heeft verschillende loopstijlen oa galop,5
heeft vier poten,138
heeft vleugels,12
heeft witte en zwarte strepen,15
herkauwt,8
het is een soort beer,7
het vlees ervan wordt gegeten,64
hinnikt,5
houdt winterslaap,15
huid die je kan gebruiken als kleding,14
huilt,9
in kooi,15
indianen joegen erop,8
intelligent,10
is agressief,7
is beige,5
is bruin,122
is dik,21
is dom,6
is een dier,131
is een huisdier,55
is een roofdier,24
is een vleeseter,38
is geel met bruine vlekken,17
is gevlekt,13
is grappig,9
"is grijs, bruin of wit",4
is groot,78
is groot en dik,5
is klein,57
is kortharig,4
is lenig,6
is lief,17
is mooi,18
is niet zo groot,6
is rossig bruin,16
is schattig,25
is slim,6
is sluw,18
is snel,18
is traag,8
is verzot op hout,4
is vies,4
is vrouwelijk,4
is wit,33
is wit/bruin,7
jaagt,27
jaagt mensen schrik aan,13
jaagt op kippen,6
je kan erop rijden,38
je vindt ze in huis,5
"kan bruin, zwart, wit, grijs zijn",4
kan goed klimmen,8
kan kunstjes leren,4
kan lang zonder water,5
kan snel lopen,41
kan spinnen,11
kan ver springen,6
kan verschillende kleuren hebben,15
kan vliegen,9
kan worden gekweekt,6
kan zwemmen,16
katachtige,21
klein kopje,4
kleine en grote soorten,7
kleine koetjes zijn kalfjes,7
kleine oren,4
kleiner dan paard,4
klimt in bomen,8
knaagdier,32
knaagt overal aan,6
komen soms voor in films,7
komt altijd op z'n poten terecht,5
komt voor in het tv-programma Skippy,6
komt voor in liedjes,5
komt voor in sprookjes en verhalen,15
koning der dieren,17
koppig,10
korte voorpoten,5
krijgt lammetjes,12
kruipt in bomen,4
krulstaart,14
kweekt snel,4
kwispelt,4
lange haren,4
lange tanden,6
leeft in Afrika,75
leeft in Amerika,12
leeft in Australië,19
leeft in bomen,12
leeft in de bergen,4
leeft in de jungle,6
leeft in de vrije natuur,7
leeft in de zoo,101
leeft in een hol,19
leeft in groep,32
leeft in grotten,11
leeft in het bos,56
leeft in het donker,5
leeft in het oerwoud,5
leeft in het wild,29
leeft in koude gebieden,15
leeft in kudde,38
leeft in warme landen,14
leeft in water,27
leeft in woestijn,21
leeft niet bij ons,12
leeft niet in België,5
leeft op de boerderij,25
leeft op de noordpool,11
leeft op de steppe,6
leeft op het land,7
leven in families,7
lijkt op de mens,5
lijkt op een koe,5
lijkt op een paard,21
lijkt op kameel,9
loeit,9
log,9
loopt in een rad,7
loopt traag,5
lui,9
maakt een knor-geluid,16
maakt een piepend geluid,18
maakt niet veel geluid,12
maakt veel lawaai,6
mannelijke koe = stier,6
meestal bruin-grijze kleur,9
mekkert,5
miauwt,6
muizenval,4
nachtdier,25
platte staart,7
pluimstaart,18
pluizig,4
prooi,10
rolt graag in de modder,17
rolt zich in een bolletje bij gevaar,19
roze,17
rundachtig dier,6
savanne,7
scheldnaam,5
schuw,18
slaapt ondersteboven,16
slingeren van boom tot boom,6
springt,23
spuwt,17
staat in de kerststal,6
staat in de stal,8
staat in de wei,29
stamt af van de wolf,4
sterk dier,25
stinkt,31
stoot zich geen 2x aan dezelfde steen,4
tekenfilmfiguur,16
trouw,11
typische vijand van een kat,8
vaak gebruikt als waakhond,4
vaak overreden door auto's,11
valt aan,6
vangt muizen,10
veel gebruikt proefdier,6
veel haar,7
verzamelt nootjes,4
voelt zacht aan,30
voorouder van mens,15
werd vroeger veel gebruikt in de landbouw,4
wordt afgeschoten voor zijn huid,6
wordt geassocieerd met vampieren,6
wordt gebruikt als lastdier,21
wordt gegeten (met pruimen),5
wordt geschoren voor de wol,18
wordt geslacht,5
wordt geslacht als offer,4
wordt op gejaagd,28
wordt soms in het circus gebruikt,14
wordt vaak de prooi van een kat,8
zachte vacht,22
zebrapad,6
zegt ia,9
zeldzaam,6
ziet er lomp uit,4
ziet in het donker,7
ziet men op safari,5
zijn te vinden in de Ardennen,4
zolder,6
zoogdier,231
zwaar,23
zwart,17
zwart met wit,17
