exemplar,blikopener,bord,broodrooster,fles,fornuis,frigo,glas,handdoek,ketel,klopper,koffiezet,kom,lepel,mes,microgolf,mixer,notenkraker,onderlegger,oven,pan,pot,rasp,schaar,schort,spatel,tas,theelepel,vergiet,vork,waterkoker,weegschaal,wok,zeef
blikopener,20.0,8.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,17.0,5.0,6.0,11.0,12.0,1.0,11.0,16.0,5.0,1.0,5.0,10.0,4.0,15.0,1.0,2.0,1.0,11.0,1.0,8.0,2.0,2.0,5.0,3.0
bord,8.0,20.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,17.0,2.0,7.0,2.0,2.0,3.0,18.0,1.0,8.0,10.0,3.0,1.0,1.0,1.0,3.0,10.0,15.0,5.0,1.0,2.0,14.0,6.0
broodrooster,3.0,1.0,20.0,1.0,7.0,6.0,1.0,2.0,4.0,1.0,10.0,1.0,2.0,8.0,11.0,6.0,4.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,3.0,1.0,1.0,8.0
fles,1.0,1.0,1.0,20.0,1.0,5.0,14.0,1.0,5.0,1.0,4.0,1.0,2.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,5.0,1.0,8.0,9.0,12.0,1.0,1.0,2.0
fornuis,1.0,1.0,7.0,1.0,20.0,11.0,1.0,1.0,12.0,2.0,6.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,11.0,9.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,5.0,1.0
frigo,1.0,1.0,6.0,5.0,11.0,20.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
glas,2.0,4.0,1.0,14.0,1.0,1.0,20.0,1.0,2.0,11.0,8.0,13.0,8.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,1.0,14.0,1.0,1.0,6.0,1.0,1.0,1.0,5.0
handdoek,1.0,1.0,2.0,1.0,1.0,1.0,1.0,20.0,1.0,5.0,1.0,2.0,1.0,1.0,6.0,1.0,4.0,1.0,1.0,1.0,11.0,1.0,1.0,12.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
ketel,1.0,2.0,4.0,5.0,12.0,5.0,2.0,1.0,20.0,3.0,8.0,8.0,1.0,4.0,10.0,1.0,1.0,5.0,6.0,7.0,15.0,3.0,2.0,1.0,1.0,10.0,1.0,15.0,1.0,7.0,1.0,10.0,4.0
klopper,17.0,1.0,1.0,1.0,2.0,1.0,11.0,5.0,3.0,20.0,1.0,4.0,14.0,7.0,1.0,17.0,13.0,4.0,1.0,6.0,10.0,8.0,12.0,1.0,18.0,1.0,8.0,4.0,8.0,4.0,1.0,4.0,5.0
koffiezet,5.0,1.0,10.0,4.0,6.0,1.0,8.0,1.0,8.0,1.0,20.0,8.0,5.0,1.0,3.0,3.0,1.0,1.0,4.0,1.0,10.0,2.0,1.0,1.0,1.0,10.0,1.0,6.0,1.0,16.0,1.0,2.0,1.0
kom,6.0,17.0,1.0,1.0,1.0,1.0,13.0,2.0,8.0,4.0,8.0,20.0,1.0,7.0,1.0,8.0,5.0,11.0,7.0,8.0,12.0,1.0,1.0,2.0,1.0,12.0,1.0,18.0,1.0,1.0,4.0,9.0,18.0
lepel,11.0,2.0,2.0,2.0,1.0,1.0,8.0,1.0,1.0,14.0,5.0,1.0,20.0,18.0,1.0,10.0,3.0,1.0,1.0,5.0,2.0,5.0,13.0,4.0,17.0,16.0,18.0,1.0,18.0,1.0,1.0,4.0,3.0
mes,12.0,7.0,8.0,9.0,1.0,2.0,4.0,1.0,4.0,7.0,1.0,7.0,18.0,20.0,2.0,7.0,7.0,1.0,1.0,1.0,5.0,6.0,16.0,1.0,16.0,10.0,16.0,1.0,18.0,1.0,1.0,2.0,1.0
microgolf,1.0,2.0,11.0,1.0,12.0,5.0,1.0,6.0,10.0,1.0,3.0,1.0,1.0,2.0,20.0,1.0,1.0,1.0,18.0,1.0,11.0,5.0,2.0,1.0,1.0,11.0,1.0,7.0,1.0,8.0,1.0,2.0,1.0
mixer,11.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,17.0,3.0,8.0,10.0,7.0,1.0,20.0,5.0,1.0,2.0,1.0,3.0,11.0,12.0,1.0,14.0,1.0,5.0,1.0,10.0,1.0,1.0,1.0,7.0
notenkraker,16.0,3.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,13.0,1.0,5.0,3.0,7.0,1.0,5.0,20.0,1.0,1.0,1.0,1.0,12.0,16.0,1.0,8.0,1.0,5.0,2.0,3.0,1.0,1.0,2.0,3.0
onderlegger,5.0,18.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,10.0,10.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,4.0
oven,1.0,1.0,6.0,1.0,11.0,1.0,1.0,1.0,6.0,1.0,4.0,7.0,1.0,1.0,18.0,2.0,1.0,1.0,20.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0
pan,5.0,8.0,1.0,1.0,9.0,2.0,1.0,1.0,7.0,6.0,1.0,8.0,5.0,1.0,1.0,1.0,1.0,10.0,1.0,20.0,15.0,5.0,5.0,1.0,1.0,2.0,1.0,10.0,6.0,4.0,6.0,18.0,14.0
pot,10.0,10.0,1.0,2.0,7.0,1.0,5.0,11.0,15.0,10.0,10.0,12.0,2.0,5.0,11.0,3.0,1.0,10.0,2.0,15.0,20.0,1.0,1.0,1.0,2.0,4.0,2.0,14.0,9.0,8.0,7.0,17.0,11.0
rasp,4.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,3.0,8.0,2.0,1.0,5.0,6.0,5.0,11.0,12.0,2.0,1.0,5.0,1.0,20.0,8.0,2.0,2.0,6.0,1.0,11.0,12.0,8.0,1.0,2.0,15.0
schaar,15.0,1.0,1.0,4.0,1.0,1.0,5.0,1.0,2.0,12.0,1.0,1.0,13.0,16.0,2.0,12.0,16.0,1.0,1.0,5.0,1.0,8.0,20.0,1.0,15.0,10.0,5.0,1.0,8.0,1.0,1.0,1.0,1.0
schort,1.0,1.0,1.0,1.0,1.0,1.0,5.0,12.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0
spatel,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,18.0,1.0,1.0,17.0,16.0,1.0,14.0,8.0,2.0,1.0,1.0,2.0,2.0,15.0,1.0,20.0,1.0,6.0,1.0,16.0,1.0,1.0,2.0,1.0
tas,1.0,3.0,1.0,5.0,1.0,1.0,14.0,1.0,10.0,1.0,10.0,12.0,16.0,10.0,11.0,1.0,1.0,1.0,1.0,2.0,4.0,6.0,10.0,1.0,1.0,20.0,3.0,10.0,5.0,5.0,1.0,5.0,2.0
theelepel,11.0,10.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,18.0,16.0,1.0,5.0,5.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,6.0,3.0,20.0,1.0,15.0,1.0,1.0,1.0,5.0
vergiet,1.0,15.0,2.0,8.0,1.0,1.0,1.0,1.0,15.0,4.0,6.0,18.0,1.0,1.0,7.0,1.0,2.0,1.0,1.0,10.0,14.0,11.0,1.0,1.0,1.0,10.0,1.0,20.0,1.0,5.0,1.0,5.0,18.0
vork,8.0,5.0,1.0,9.0,1.0,1.0,6.0,1.0,1.0,8.0,1.0,1.0,18.0,18.0,1.0,10.0,3.0,1.0,1.0,6.0,9.0,12.0,8.0,1.0,16.0,5.0,15.0,1.0,20.0,1.0,1.0,3.0,2.0
waterkoker,2.0,1.0,3.0,12.0,6.0,1.0,1.0,1.0,7.0,4.0,16.0,1.0,1.0,1.0,8.0,1.0,1.0,4.0,10.0,4.0,8.0,8.0,1.0,2.0,1.0,5.0,1.0,5.0,1.0,20.0,1.0,1.0,2.0
weegschaal,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,6.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,2.0
wok,5.0,14.0,1.0,1.0,5.0,1.0,1.0,1.0,10.0,4.0,2.0,9.0,4.0,2.0,2.0,1.0,2.0,3.0,1.0,18.0,17.0,2.0,1.0,2.0,2.0,5.0,1.0,5.0,3.0,1.0,1.0,20.0,10.0
zeef,3.0,6.0,8.0,2.0,1.0,1.0,5.0,3.0,4.0,5.0,1.0,18.0,3.0,1.0,1.0,7.0,3.0,4.0,1.0,14.0,11.0,15.0,1.0,1.0,1.0,2.0,5.0,18.0,2.0,2.0,2.0,10.0,20.0
