exemplar,bat,beaver,bison,cat,cow,deer,dog,donkey,dromedary,elephant,fox,giraffe,hamster,hedgehog,hippopotamus,horse,kangaroo,lion,llama,monkey,mouse,pig,polar bear,rabbit,rhinoceros,sheep,squirrel,tiger,wolf,zebra
bat,20.0,10.0,10.0,14.0,1.0,9.0,9.0,4.0,8.0,9.0,7.0,6.0,16.0,16.0,9.0,6.0,10.0,6.0,4.0,10.0,7.0,9.0,4.0,10.0,9.0,10.0,12.0,9.0,12.0,9.0
beaver,10.0,20.0,10.0,8.0,10.0,16.0,16.0,9.0,9.0,8.0,16.0,10.0,17.0,11.0,13.0,12.0,15.0,14.0,9.0,12.0,11.0,13.0,12.0,14.0,12.0,12.0,15.0,16.0,18.0,8.0
bison,10.0,10.0,20.0,3.0,15.0,12.0,10.0,18.0,18.0,13.0,12.0,15.0,11.0,9.0,12.0,15.0,7.0,13.0,17.0,14.0,9.0,14.0,16.0,10.0,18.0,14.0,7.0,14.0,11.0,17.0
cat,14.0,8.0,3.0,20.0,8.0,11.0,16.0,8.0,3.0,8.0,15.0,10.0,18.0,15.0,12.0,8.0,4.0,18.0,8.0,8.0,15.0,8.0,10.0,11.0,9.0,10.0,15.0,17.0,15.0,10.0
cow,1.0,10.0,15.0,8.0,20.0,16.0,9.0,18.0,16.0,15.0,9.0,14.0,9.0,8.0,17.0,18.0,8.0,12.0,17.0,10.0,6.0,17.0,12.0,12.0,16.0,11.0,9.0,12.0,9.0,14.0
deer,9.0,16.0,12.0,11.0,16.0,20.0,15.0,16.0,10.0,15.0,16.0,17.0,10.0,11.0,15.0,12.0,18.0,16.0,17.0,9.0,9.0,15.0,14.0,15.0,17.0,10.0,13.0,14.0,13.0,16.0
dog,9.0,16.0,10.0,16.0,9.0,15.0,20.0,9.0,13.0,13.0,17.0,10.0,11.0,15.0,10.0,16.0,11.0,10.0,10.0,12.0,15.0,11.0,11.0,10.0,10.0,15.0,10.0,18.0,17.0,10.0
donkey,4.0,9.0,18.0,8.0,18.0,16.0,9.0,20.0,18.0,16.0,9.0,15.0,5.0,5.0,17.0,18.0,10.0,14.0,15.0,14.0,10.0,14.0,12.0,6.0,14.0,12.0,12.0,11.0,13.0,16.0
dromedary,8.0,9.0,18.0,3.0,16.0,10.0,13.0,18.0,20.0,17.0,12.0,15.0,8.0,7.0,15.0,18.0,16.0,9.0,15.0,6.0,4.0,9.0,12.0,9.0,18.0,9.0,6.0,16.0,9.0,14.0
elephant,9.0,8.0,13.0,8.0,15.0,15.0,13.0,16.0,17.0,20.0,5.0,17.0,9.0,10.0,14.0,15.0,14.0,15.0,15.0,10.0,6.0,11.0,17.0,3.0,18.0,9.0,4.0,15.0,8.0,16.0
fox,7.0,16.0,12.0,15.0,9.0,16.0,17.0,9.0,12.0,5.0,20.0,8.0,14.0,9.0,10.0,5.0,15.0,10.0,17.0,14.0,9.0,14.0,16.0,15.0,11.0,13.0,12.0,17.0,15.0,11.0
giraffe,6.0,10.0,15.0,10.0,14.0,17.0,10.0,15.0,15.0,17.0,8.0,20.0,8.0,10.0,16.0,16.0,17.0,15.0,17.0,13.0,9.0,11.0,13.0,15.0,15.0,5.0,9.0,19.0,13.0,19.0
hamster,16.0,17.0,11.0,18.0,9.0,10.0,11.0,5.0,8.0,9.0,14.0,8.0,20.0,16.0,9.0,10.0,8.0,9.0,9.0,8.0,11.0,7.0,9.0,13.0,9.0,13.0,19.0,11.0,10.0,9.0
hedgehog,16.0,11.0,9.0,15.0,8.0,11.0,15.0,5.0,7.0,10.0,9.0,10.0,16.0,20.0,8.0,7.0,11.0,8.0,9.0,6.0,17.0,7.0,9.0,15.0,9.0,11.0,14.0,10.0,9.0,11.0
hippopotamus,9.0,13.0,12.0,12.0,17.0,15.0,10.0,17.0,15.0,14.0,10.0,16.0,9.0,8.0,20.0,17.0,17.0,14.0,17.0,13.0,9.0,10.0,12.0,6.0,13.0,13.0,9.0,17.0,10.0,18.0
horse,6.0,12.0,15.0,8.0,18.0,12.0,16.0,18.0,18.0,15.0,5.0,16.0,10.0,7.0,17.0,20.0,14.0,12.0,17.0,8.0,9.0,8.0,15.0,8.0,15.0,14.0,8.0,11.0,13.0,18.0
kangaroo,10.0,15.0,7.0,4.0,8.0,18.0,11.0,10.0,16.0,14.0,15.0,17.0,8.0,11.0,17.0,14.0,20.0,14.0,17.0,15.0,15.0,11.0,14.0,14.0,13.0,7.0,6.0,17.0,11.0,10.0
lion,6.0,14.0,13.0,18.0,12.0,16.0,10.0,14.0,9.0,15.0,10.0,15.0,9.0,8.0,14.0,12.0,14.0,20.0,16.0,14.0,9.0,7.0,13.0,8.0,9.0,13.0,10.0,18.0,17.0,16.0
llama,4.0,9.0,17.0,8.0,17.0,17.0,10.0,15.0,15.0,15.0,17.0,17.0,9.0,9.0,17.0,17.0,17.0,16.0,20.0,14.0,9.0,13.0,11.0,12.0,15.0,17.0,9.0,17.0,11.0,14.0
monkey,10.0,12.0,14.0,8.0,10.0,9.0,12.0,14.0,6.0,10.0,14.0,13.0,8.0,6.0,13.0,8.0,15.0,14.0,14.0,20.0,5.0,12.0,8.0,11.0,10.0,14.0,14.0,5.0,13.0,11.0
mouse,7.0,11.0,9.0,15.0,6.0,9.0,15.0,10.0,4.0,6.0,9.0,9.0,11.0,17.0,9.0,9.0,15.0,9.0,9.0,5.0,20.0,11.0,7.0,7.0,8.0,14.0,13.0,10.0,11.0,4.0
pig,9.0,13.0,14.0,8.0,17.0,15.0,11.0,14.0,9.0,11.0,14.0,11.0,7.0,7.0,10.0,8.0,11.0,7.0,13.0,12.0,11.0,20.0,8.0,13.0,13.0,8.0,11.0,7.0,12.0,12.0
polar bear,4.0,12.0,16.0,10.0,12.0,14.0,11.0,12.0,12.0,17.0,16.0,13.0,9.0,9.0,12.0,15.0,14.0,13.0,11.0,8.0,7.0,8.0,20.0,9.0,8.0,14.0,10.0,14.0,15.0,11.0
rabbit,10.0,14.0,10.0,11.0,12.0,15.0,10.0,6.0,9.0,3.0,15.0,15.0,13.0,15.0,6.0,8.0,14.0,8.0,12.0,11.0,7.0,13.0,9.0,20.0,8.0,15.0,14.0,9.0,10.0,9.0
rhinoceros,9.0,12.0,18.0,9.0,16.0,17.0,10.0,14.0,18.0,18.0,11.0,15.0,9.0,9.0,13.0,15.0,13.0,9.0,15.0,10.0,8.0,13.0,8.0,8.0,20.0,11.0,7.0,14.0,11.0,15.0
sheep,10.0,12.0,14.0,10.0,11.0,10.0,15.0,12.0,9.0,9.0,13.0,5.0,13.0,11.0,13.0,14.0,7.0,13.0,17.0,14.0,14.0,8.0,14.0,15.0,11.0,20.0,9.0,12.0,12.0,9.0
squirrel,12.0,15.0,7.0,15.0,9.0,13.0,10.0,12.0,6.0,4.0,12.0,9.0,19.0,14.0,9.0,8.0,6.0,10.0,9.0,14.0,13.0,11.0,10.0,14.0,7.0,9.0,20.0,11.0,10.0,9.0
tiger,9.0,16.0,14.0,17.0,12.0,14.0,18.0,11.0,16.0,15.0,17.0,19.0,11.0,10.0,17.0,11.0,17.0,18.0,17.0,5.0,10.0,7.0,14.0,9.0,14.0,12.0,11.0,20.0,15.0,17.0
wolf,12.0,18.0,11.0,15.0,9.0,13.0,17.0,13.0,9.0,8.0,15.0,13.0,10.0,9.0,10.0,13.0,11.0,17.0,11.0,13.0,11.0,12.0,15.0,10.0,11.0,12.0,10.0,15.0,20.0,15.0
zebra,9.0,8.0,17.0,10.0,14.0,16.0,10.0,16.0,14.0,16.0,11.0,19.0,9.0,11.0,18.0,18.0,10.0,16.0,14.0,11.0,4.0,12.0,11.0,9.0,15.0,9.0,9.0,17.0,15.0,20.0
