exemplar,anvil,axe,chisel,clamp,crowbar (breekijzer),crowbar (koevoet),drill,file,filling knife,grinding disc,hammer,knife,lawn mower,level,nail,oil can,paint brush,pickaxe,plane,plough,rope,saw,screw wrench (engelse sleutel),screwdriver,shovel,tongs,vacuum cleaner,wheelbarrow,wire brush,wrench
anvil,20.0,1.0,1.0,3.0,1.0,1.0,1.0,,1.0,,12.0,1.0,1.0,,,1.0,,2.0,,2.0,,,1.0,,,,,3.0,,1.0
axe,1.0,20.0,3.0,1.0,9.0,3.0,3.0,,1.0,,9.0,15.0,1.0,,,1.0,,16.0,,1.0,,,1.0,,,,,1.0,,1.0
chisel,1.0,3.0,20.0,4.0,16.0,12.0,7.0,,9.0,,4.0,9.0,1.0,,,1.0,,1.0,,1.0,,,4.0,,,,,1.0,,2.0
clamp,3.0,1.0,4.0,20.0,3.0,1.0,3.0,,1.0,,1.0,2.0,1.0,,,1.0,,4.0,,1.0,,,1.0,,,,,2.0,,1.0
crowbar (breekijzer),1.0,9.0,16.0,3.0,20.0,17.0,1.0,,1.0,,7.0,3.0,1.0,,,3.0,,4.0,,6.0,,,1.0,,,,,1.0,,3.0
crowbar (koevoet),1.0,3.0,12.0,1.0,17.0,20.0,4.0,,2.0,,6.0,3.0,1.0,,,1.0,,6.0,,10.0,,,2.0,,,,,1.0,,2.0
drill,1.0,3.0,7.0,3.0,1.0,4.0,20.0,,1.0,,1.0,2.0,8.0,,,1.0,,1.0,,1.0,,,1.0,,,,,3.0,,1.0
file,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,
filling knife,1.0,1.0,9.0,1.0,1.0,2.0,1.0,,20.0,,3.0,18.0,1.0,,,1.0,,3.0,,1.0,,,1.0,,,,,1.0,,1.0
grinding disc,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,
hammer,12.0,9.0,4.0,1.0,7.0,6.0,1.0,,3.0,,20.0,3.0,1.0,,,1.0,,4.0,,1.0,,,1.0,,,,,2.0,,1.0
knife,1.0,15.0,9.0,2.0,3.0,3.0,2.0,,18.0,,3.0,20.0,12.0,,,1.0,,3.0,,16.0,,,1.0,,,,,1.0,,1.0
lawn mower,1.0,1.0,1.0,1.0,1.0,1.0,8.0,,1.0,,1.0,12.0,20.0,,,1.0,,1.0,,4.0,,,1.0,,,,,8.0,,1.0
level,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,
nail,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,
oil can,1.0,1.0,1.0,1.0,3.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,20.0,,1.0,,1.0,,,1.0,,,,,1.0,,1.0
paint brush,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,
pickaxe,2.0,16.0,1.0,4.0,4.0,6.0,1.0,,3.0,,4.0,3.0,1.0,,,1.0,,20.0,,6.0,,,1.0,,,,,1.0,,1.0
plane,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,
plough,2.0,1.0,1.0,1.0,6.0,10.0,1.0,,1.0,,1.0,16.0,4.0,,,1.0,,6.0,,20.0,,,1.0,,,,,10.0,,1.0
rope,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,
saw,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,
screw wrench (engelse sleutel),1.0,1.0,4.0,1.0,1.0,2.0,1.0,,1.0,,1.0,1.0,1.0,,,1.0,,1.0,,1.0,,,20.0,,,,,1.0,,17.0
screwdriver,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,
shovel,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,
tongs,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,
vacuum cleaner,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,
wheelbarrow,3.0,1.0,1.0,2.0,1.0,1.0,3.0,,1.0,,2.0,1.0,8.0,,,1.0,,1.0,,10.0,,,1.0,,,,,20.0,,1.0
wire brush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,
wrench,1.0,1.0,2.0,1.0,3.0,2.0,1.0,,1.0,,1.0,1.0,1.0,,,1.0,,1.0,,1.0,,,17.0,,,,,1.0,,20.0
