exemplar,beha,bloes,broek,das,hemd,hoed,jas,jeans,jogging,kleed,kostuum,laarzen,muts,pet,pyjama,riem,rok,salopet,schoenen,short,sjaal,slip,sokken,sweater,t-shirt,topje,trui,wanten,zwempak
beha,20.0,14.0,4.0,8.0,5.0,4.0,1.0,4.0,5.0,1.0,5.0,8.0,1.0,1.0,8.0,3.0,5.0,10.0,5.0,5.0,9.0,6.0,10.0,1.0,1.0,1.0,17.0,15.0,1.0
bloes,14.0,20.0,14.0,3.0,15.0,5.0,10.0,1.0,4.0,5.0,1.0,5.0,5.0,1.0,10.0,15.0,2.0,18.0,1.0,5.0,16.0,1.0,4.0,5.0,1.0,1.0,18.0,1.0,1.0
broek,4.0,14.0,20.0,1.0,19.0,10.0,2.0,12.0,16.0,2.0,10.0,14.0,1.0,14.0,4.0,14.0,1.0,1.0,1.0,5.0,4.0,16.0,1.0,16.0,1.0,5.0,1.0,3.0,12.0
das,8.0,3.0,1.0,20.0,12.0,14.0,1.0,2.0,1.0,5.0,4.0,14.0,1.0,1.0,10.0,18.0,1.0,6.0,5.0,11.0,13.0,4.0,10.0,1.0,5.0,1.0,1.0,8.0,11.0
hemd,5.0,15.0,19.0,12.0,20.0,14.0,1.0,13.0,5.0,1.0,1.0,10.0,6.0,1.0,11.0,14.0,12.0,1.0,15.0,12.0,1.0,1.0,1.0,5.0,12.0,14.0,1.0,5.0,16.0
hoed,4.0,5.0,10.0,14.0,14.0,20.0,14.0,1.0,5.0,10.0,1.0,10.0,3.0,10.0,1.0,6.0,1.0,15.0,16.0,15.0,12.0,14.0,15.0,15.0,4.0,1.0,1.0,11.0,14.0
jas,1.0,10.0,2.0,1.0,1.0,14.0,20.0,1.0,5.0,5.0,9.0,8.0,1.0,1.0,16.0,1.0,1.0,4.0,1.0,2.0,18.0,4.0,3.0,2.0,18.0,4.0,5.0,1.0,10.0
jeans,4.0,1.0,12.0,2.0,13.0,1.0,1.0,20.0,4.0,7.0,3.0,5.0,18.0,3.0,8.0,4.0,1.0,4.0,15.0,1.0,18.0,10.0,1.0,5.0,5.0,14.0,1.0,5.0,5.0
jogging,5.0,4.0,16.0,1.0,5.0,5.0,5.0,4.0,20.0,8.0,11.0,2.0,1.0,10.0,16.0,12.0,1.0,8.0,20.0,12.0,14.0,1.0,1.0,1.0,1.0,5.0,14.0,10.0,4.0
kleed,1.0,5.0,2.0,5.0,1.0,10.0,5.0,7.0,8.0,20.0,2.0,14.0,1.0,1.0,14.0,1.0,7.0,5.0,1.0,4.0,15.0,11.0,11.0,10.0,1.0,12.0,16.0,1.0,12.0
kostuum,5.0,1.0,10.0,4.0,1.0,1.0,9.0,3.0,11.0,2.0,20.0,15.0,1.0,14.0,15.0,1.0,8.0,3.0,18.0,5.0,12.0,1.0,10.0,1.0,6.0,1.0,8.0,2.0,18.0
laarzen,8.0,5.0,14.0,14.0,10.0,10.0,8.0,5.0,2.0,14.0,15.0,20.0,1.0,1.0,18.0,1.0,1.0,4.0,1.0,11.0,1.0,8.0,1.0,5.0,15.0,5.0,8.0,14.0,1.0
muts,1.0,5.0,1.0,1.0,6.0,3.0,1.0,18.0,1.0,1.0,1.0,1.0,20.0,5.0,15.0,7.0,12.0,16.0,8.0,10.0,6.0,10.0,8.0,10.0,15.0,14.0,1.0,5.0,12.0
pet,1.0,1.0,14.0,1.0,1.0,10.0,1.0,3.0,10.0,1.0,14.0,1.0,5.0,20.0,8.0,11.0,8.0,2.0,7.0,5.0,5.0,5.0,1.0,8.0,5.0,1.0,1.0,1.0,1.0
pyjama,8.0,10.0,4.0,10.0,11.0,1.0,16.0,8.0,16.0,14.0,15.0,18.0,15.0,8.0,20.0,1.0,4.0,10.0,18.0,1.0,5.0,4.0,1.0,4.0,5.0,1.0,1.0,14.0,11.0
riem,3.0,15.0,14.0,18.0,14.0,6.0,1.0,4.0,12.0,1.0,1.0,1.0,7.0,11.0,1.0,20.0,12.0,15.0,2.0,15.0,8.0,15.0,6.0,1.0,12.0,4.0,10.0,1.0,15.0
rok,5.0,2.0,1.0,1.0,12.0,1.0,1.0,1.0,1.0,7.0,8.0,1.0,12.0,8.0,4.0,12.0,20.0,10.0,1.0,12.0,6.0,12.0,18.0,12.0,14.0,5.0,15.0,12.0,5.0
salopet,10.0,18.0,1.0,6.0,1.0,15.0,4.0,4.0,8.0,5.0,3.0,4.0,16.0,2.0,10.0,15.0,10.0,20.0,14.0,9.0,11.0,1.0,5.0,1.0,2.0,12.0,1.0,5.0,12.0
schoenen,5.0,1.0,1.0,5.0,15.0,16.0,1.0,15.0,20.0,1.0,18.0,1.0,8.0,7.0,18.0,2.0,1.0,14.0,20.0,1.0,14.0,10.0,1.0,10.0,1.0,6.0,5.0,12.0,16.0
short,5.0,5.0,5.0,11.0,12.0,15.0,2.0,1.0,12.0,4.0,5.0,11.0,10.0,5.0,1.0,15.0,12.0,9.0,1.0,20.0,14.0,1.0,17.0,10.0,8.0,16.0,2.0,12.0,1.0
sjaal,9.0,16.0,4.0,13.0,1.0,12.0,18.0,18.0,14.0,15.0,12.0,1.0,6.0,5.0,5.0,8.0,6.0,11.0,14.0,14.0,20.0,1.0,6.0,15.0,16.0,1.0,8.0,18.0,1.0
slip,6.0,1.0,16.0,4.0,1.0,14.0,4.0,10.0,1.0,11.0,1.0,8.0,10.0,5.0,4.0,15.0,12.0,1.0,10.0,1.0,1.0,20.0,10.0,4.0,1.0,4.0,5.0,5.0,8.0
sokken,10.0,4.0,1.0,10.0,1.0,15.0,3.0,1.0,1.0,11.0,10.0,1.0,8.0,1.0,1.0,6.0,18.0,5.0,1.0,17.0,6.0,10.0,20.0,1.0,1.0,1.0,5.0,1.0,16.0
sweater,1.0,5.0,16.0,1.0,5.0,15.0,2.0,5.0,1.0,10.0,1.0,5.0,10.0,8.0,4.0,1.0,12.0,1.0,10.0,10.0,15.0,4.0,1.0,20.0,8.0,1.0,1.0,2.0,1.0
t-shirt,1.0,1.0,1.0,5.0,12.0,4.0,18.0,5.0,1.0,1.0,6.0,15.0,15.0,5.0,5.0,12.0,14.0,2.0,1.0,8.0,16.0,1.0,1.0,8.0,20.0,1.0,14.0,1.0,17.0
topje,1.0,1.0,5.0,1.0,14.0,1.0,4.0,14.0,5.0,12.0,1.0,5.0,14.0,1.0,1.0,4.0,5.0,12.0,6.0,16.0,1.0,4.0,1.0,1.0,1.0,20.0,5.0,1.0,5.0
trui,17.0,18.0,1.0,1.0,1.0,1.0,5.0,1.0,14.0,16.0,8.0,8.0,1.0,1.0,1.0,10.0,15.0,1.0,5.0,2.0,8.0,5.0,5.0,1.0,14.0,5.0,20.0,5.0,1.0
wanten,15.0,1.0,3.0,8.0,5.0,11.0,1.0,5.0,10.0,1.0,2.0,14.0,5.0,1.0,14.0,1.0,12.0,5.0,12.0,12.0,18.0,5.0,1.0,2.0,1.0,1.0,5.0,20.0,1.0
zwempak,1.0,1.0,12.0,11.0,16.0,14.0,10.0,5.0,4.0,12.0,18.0,1.0,12.0,1.0,11.0,15.0,5.0,12.0,16.0,1.0,1.0,8.0,16.0,1.0,17.0,5.0,1.0,1.0,20.0
