exemplar,adder,alligator,boa,cobra,dinosaurus,gekko,hagedis,hazelworm,kaaiman,kameleon,kikker,krokodil,leguaan,pad,python,salamander,schildpad,slang,varaan,waterschildpad
adder,20.0,12.0,16.0,15.0,11.0,12.0,8.0,11.0,14.0,8.0,4.0,10.0,12.0,13.0,15.0,8.0,8.0,16.0,5.0,14.0
alligator,12.0,20.0,14.0,11.0,15.0,8.0,9.0,10.0,18.0,6.0,13.0,18.0,13.0,8.0,13.0,12.0,10.0,13.0,14.0,10.0
boa,16.0,14.0,20.0,17.0,5.0,7.0,15.0,11.0,8.0,12.0,11.0,12.0,12.0,9.0,17.0,12.0,6.0,16.0,13.0,12.0
cobra,15.0,11.0,17.0,20.0,13.0,8.0,6.0,11.0,12.0,6.0,13.0,10.0,16.0,7.0,14.0,7.0,4.0,17.0,8.0,12.0
dinosaurus,11.0,15.0,5.0,13.0,20.0,12.0,15.0,8.0,10.0,9.0,4.0,16.0,15.0,9.0,10.0,10.0,10.0,9.0,15.0,10.0
gekko,12.0,8.0,7.0,8.0,12.0,20.0,14.0,11.0,10.0,15.0,9.0,10.0,10.0,8.0,5.0,13.0,4.0,10.0,9.0,10.0
hagedis,8.0,9.0,15.0,6.0,15.0,14.0,20.0,13.0,12.0,15.0,14.0,12.0,10.0,12.0,6.0,15.0,11.0,11.0,13.0,10.0
hazelworm,11.0,10.0,11.0,11.0,8.0,11.0,13.0,20.0,8.0,9.0,8.0,4.0,9.0,5.0,13.0,12.0,7.0,13.0,14.0,12.0
kaaiman,14.0,18.0,8.0,12.0,10.0,10.0,12.0,8.0,20.0,9.0,14.0,18.0,9.0,6.0,7.0,10.0,10.0,11.0,12.0,7.0
kameleon,8.0,6.0,12.0,6.0,9.0,15.0,15.0,9.0,9.0,20.0,6.0,13.0,14.0,13.0,12.0,12.0,12.0,10.0,12.0,6.0
kikker,4.0,13.0,11.0,13.0,4.0,9.0,14.0,8.0,14.0,6.0,20.0,12.0,11.0,17.0,12.0,16.0,14.0,6.0,12.0,8.0
krokodil,10.0,18.0,12.0,10.0,16.0,10.0,12.0,4.0,18.0,13.0,12.0,20.0,13.0,9.0,10.0,10.0,10.0,4.0,16.0,12.0
leguaan,12.0,13.0,12.0,16.0,15.0,10.0,10.0,9.0,9.0,14.0,11.0,13.0,20.0,10.0,10.0,13.0,14.0,10.0,14.0,10.0
pad,13.0,8.0,9.0,7.0,9.0,8.0,12.0,5.0,6.0,13.0,17.0,9.0,10.0,20.0,11.0,11.0,10.0,10.0,9.0,9.0
python,15.0,13.0,17.0,14.0,10.0,5.0,6.0,13.0,7.0,12.0,12.0,10.0,10.0,11.0,20.0,12.0,10.0,16.0,16.0,8.0
salamander,8.0,12.0,12.0,7.0,10.0,13.0,15.0,12.0,10.0,12.0,16.0,10.0,13.0,11.0,12.0,20.0,12.0,12.0,7.0,14.0
schildpad,8.0,10.0,6.0,4.0,10.0,4.0,11.0,7.0,10.0,12.0,14.0,10.0,14.0,10.0,10.0,12.0,20.0,10.0,5.0,17.0
slang,16.0,13.0,16.0,17.0,9.0,10.0,11.0,13.0,11.0,10.0,6.0,4.0,10.0,10.0,16.0,12.0,10.0,20.0,8.0,11.0
varaan,5.0,14.0,13.0,8.0,15.0,9.0,13.0,14.0,12.0,12.0,12.0,16.0,14.0,9.0,16.0,7.0,5.0,8.0,20.0,8.0
waterschildpad,14.0,10.0,12.0,12.0,10.0,10.0,10.0,12.0,7.0,6.0,8.0,12.0,10.0,9.0,8.0,14.0,17.0,11.0,8.0,20.0
