exemplar,bazooka,bijl,boksbeugel,boog,dolk,geweer,granaat,kanon,katapult,knuppel,mitrailleur,pistool,schild,speer,stok,tank,touw,tweeloop,zwaard,zweep
bazooka,20.0,1.0,1.0,1.0,2.0,13.0,12.0,14.0,1.0,1.0,9.0,2.0,1.0,2.0,1.0,15.0,1.0,2.0,1.0,1.0
bijl,1.0,20.0,1.0,14.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,5.0,12.0,14.0,7.0,3.0,4.0,2.0,3.0,1.0
boksbeugel,1.0,1.0,20.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0
boog,1.0,14.0,2.0,20.0,2.0,2.0,2.0,1.0,15.0,2.0,2.0,1.0,16.0,17.0,15.0,2.0,6.0,1.0,1.0,1.0
dolk,2.0,4.0,4.0,2.0,20.0,3.0,2.0,2.0,10.0,3.0,7.0,10.0,2.0,12.0,1.0,2.0,5.0,2.0,4.0,2.0
geweer,13.0,2.0,1.0,2.0,3.0,20.0,2.0,3.0,4.0,1.0,14.0,17.0,1.0,1.0,1.0,2.0,1.0,14.0,2.0,1.0
granaat,12.0,2.0,1.0,2.0,2.0,2.0,20.0,10.0,8.0,1.0,2.0,2.0,1.0,2.0,1.0,14.0,1.0,10.0,1.0,4.0
kanon,14.0,1.0,1.0,1.0,2.0,3.0,10.0,20.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,17.0,1.0,7.0,2.0,2.0
katapult,1.0,1.0,2.0,15.0,10.0,4.0,8.0,4.0,20.0,1.0,2.0,1.0,1.0,4.0,16.0,3.0,1.0,2.0,1.0,4.0
knuppel,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,20.0,2.0,2.0,9.0,2.0,17.0,2.0,1.0,1.0,2.0,1.0
mitrailleur,9.0,2.0,2.0,2.0,7.0,14.0,2.0,2.0,2.0,2.0,20.0,12.0,14.0,13.0,3.0,7.0,1.0,9.0,16.0,1.0
pistool,2.0,5.0,2.0,1.0,10.0,17.0,2.0,2.0,1.0,2.0,12.0,20.0,1.0,1.0,2.0,3.0,1.0,4.0,1.0,2.0
schild,1.0,12.0,2.0,16.0,2.0,1.0,1.0,2.0,1.0,9.0,14.0,1.0,20.0,15.0,16.0,4.0,1.0,1.0,18.0,2.0
speer,2.0,14.0,1.0,17.0,12.0,1.0,2.0,1.0,4.0,2.0,13.0,1.0,15.0,20.0,15.0,4.0,1.0,1.0,1.0,1.0
stok,1.0,7.0,2.0,15.0,1.0,1.0,1.0,1.0,16.0,17.0,3.0,2.0,16.0,15.0,20.0,1.0,13.0,1.0,1.0,2.0
tank,15.0,3.0,1.0,2.0,2.0,2.0,14.0,17.0,3.0,2.0,7.0,3.0,4.0,4.0,1.0,20.0,1.0,1.0,2.0,1.0
touw,1.0,4.0,1.0,6.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,1.0,20.0,1.0,1.0,10.0
tweeloop,2.0,2.0,2.0,1.0,2.0,14.0,10.0,7.0,2.0,1.0,9.0,4.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,2.0
zwaard,1.0,3.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,2.0,16.0,1.0,18.0,1.0,1.0,2.0,1.0,1.0,20.0,2.0
zweep,1.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,10.0,2.0,2.0,20.0
